display,lat,lon
"Bull Inn Court, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2E 7NJ, United Kingdom","51.5106284","-0.1233257"
"Drury Lane, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2E 9LB, United Kingdom","51.5148391","-0.1224198"
"Golden Square, Soho, City of Westminster, London, Greater London, England, W1F 9JS, United Kingdom","51.5115145","-0.1375721"
"King Street, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2, United Kingdom","51.5113011","-0.1251874"
"Theobald Road, Walthamstow Village, Leyton, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","51.571243","-0.0237389"
"Tooley Street, Butler's Wharf, Bermondsey, London Borough of Southwark, London, Greater London, England, SE1 2PN, United Kingdom","51.5005038","-0.0741802"
"King, 178, Wardour Street, Soho, City of Westminster, London, Greater London, England, W1F 8ZD, United Kingdom","51.51553845","-0.13516594218166683"
"Minories, Guinness Trust Housing Association Estate, City of London, Greater London, England, EC3N 1LA, United Kingdom","51.511178","-0.0749349"
"Belmont, 1,3,5, Cross Street, Angel, Highbury, London Borough of Islington, London, Greater London, England, N1 2SJ, United Kingdom","51.538635600000006","-0.09934619962681111"
"Archer Street, Soho, City of Westminster, London, Greater London, England, W1D 7AP, United Kingdom","51.5113932","-0.1343278"
"91,93,95, Bartholomew Close, East Hill Estate, Clapham Junction, London Borough of Wandsworth, London, Greater London, England, SW18 2HJ, United Kingdom","51.460469700000004","-0.18301380769606723"
"Aldersgate Street, Smithfield, City of London, Greater London, England, EC1A 4HT, United Kingdom","51.5180391","-0.0968626"
"Brewer Street, Soho, City of Westminster, London, Greater London, England, W1F 0RR, United Kingdom","51.512221","-0.1341851"
"Dacre Street, Westminster, Millbank, City of Westminster, London, Greater London, England, SW1H 0DJ, United Kingdom","51.4988396","-0.1320004"
"Strand, Westminster, Covent Garden, City of Westminster, London, Greater London, England, WC2, United Kingdom","51.5075152","-0.1272252"
"Drury Lane, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2E 9LB, United Kingdom","51.5148391","-0.1224198"
"Mercer Street, Covent Garden, City of Westminster, London, Greater London, England, WC2H 9QB, United Kingdom","51.5129751","-0.1259558"
"Portland Street, Borough, Walworth, London Borough of Southwark, London, Greater London, England, SE17, United Kingdom","51.4865904","-0.08984"
"Strand, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2, United Kingdom","51.5118172","-0.1176878"
"Holywell Lane, Shoreditch, London Borough of Hackney, London, Greater London, England, EC2A 3PT, United Kingdom","51.5236921","-0.0798958"
"Wardour Street, Soho, City of Westminster, London, Greater London, England, W1F 0TD, United Kingdom","51.5139672","-0.1343351"
"Watermans Arms, 92, Narrow Street, Ratcliffe, Limehouse, London Borough of Tower Hamlets, London, Greater London, England, E14 8BP, United Kingdom","51.5087098","-0.0335149518373761"
"Petty France, Westminster, Victoria, City of Westminster, London, Greater London, England, SW1, United Kingdom","51.4996438","-0.1347138"
"Theobalds Road, Gray's Inn, Holborn, London Borough of Camden, London, Greater London, England, WC1X 8SL, United Kingdom","51.5205451","-0.1170248"
"St John's Lane, Farringdon, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1M 4BJ, United Kingdom","51.5210736","-0.1021296"
"St John's Lane, Farringdon, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1M 4BJ, United Kingdom","51.5210736","-0.1021296"
"Drury Lane, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2E 9LB, United Kingdom","51.5148391","-0.1224198"
"St. Martin's Lane, Covent Garden, City of Westminster, London, Greater London, England, WC2, United Kingdom","51.5102204","-0.1269146"
"Mead Row, South Bank, Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JG, United Kingdom","51.4971485","-0.1114377"
"Parsons Green, Beaconsfield Walk, Parson's Green, London Borough of Hammersmith and Fulham, London, Greater London, England, SW6 4HH, United Kingdom","51.4750837","-0.201549"
"12, Welbeck Street, Marylebone, City of Westminster, London, Greater London, England, W1G 9YB, United Kingdom","51.51718835","-0.14890055456181683"
"Drury Lane, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2E 9LB, United Kingdom","51.5148391","-0.1224198"
"Tottenham Street, Cavendish Square & Oxford Market (South), London Borough of Camden, London, Greater London, England, W1T 4RP, United Kingdom","51.5198216","-0.1371227"
"16-18, Marshall Street, Soho, City of Westminster, London, Greater London, England, W1F 7EZ, United Kingdom","51.5138274","-0.1378864"
"Whitcomb Street, St. James's, Covent Garden, City of Westminster, London, Greater London, England, WC2H 7DH, United Kingdom","51.510048","-0.1312256"
"Fox Court, 14, Gray's Inn Road, Gray's Inn, Holborn, London Borough of Camden, London, Greater London, England, WC1V 7PX, United Kingdom","51.51897065","-0.11090708565673327"
"Temple Bar, Fleet Street, Temple, City of London, Greater London, England, EC4, United Kingdom","51.5136859","-0.11187984999999875"
"14-16, Little Titchfield Street, Cavendish Square & Oxford Market (South), Fitzrovia, City of Westminster, London, Greater London, England, W1, United Kingdom","51.518128950000005","-0.1413804834703397"
"Coleman Street, Barbican, City of London, Greater London, England, EC2R 5EH, United Kingdom","51.5154094","-0.0900895"
"Strand, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2, United Kingdom","51.5118172","-0.1176878"
"Ropemakers Fields, Ratcliffe, Limehouse, London Borough of Tower Hamlets, London, Greater London, England, United Kingdom","51.50973505","-0.03280067777458806"
"Southampton Buildings, Temple, City of London, Greater London, England, WC2A 1HL, United Kingdom","51.5172451","-0.1122027"
"Swallow Street, Beckton, London Borough of Newham, London, Greater London, England, E6, United Kingdom","51.5167374","0.0519105"
"Jermyn Street, St. James's, Covent Garden, City of Westminster, London, Greater London, England, SW1, United Kingdom","51.5094679","-0.1335766"
"Lambeth Walk, South Bank, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11, United Kingdom","51.4940501","-0.1149736"
"Down Street, Mayfair, City of Westminster, London, Greater London, England, W1J 7AL, United Kingdom","51.5054542","-0.1485988"
"Old Change, Saint Paul's Church Yard, Blackfriars, City of London, Greater London, England, EC4V 5AN, United Kingdom","51.5132916","-0.0971528"
"New Inn Yard, Shoreditch, London Borough of Hackney, London, Greater London, England, EC2A 3EA, United Kingdom","51.5245051","-0.0792411"
"Northern and Shell, 10, Lower Thames Street, Bishopsgate, City of London, Greater London, England, EC3R 6EN, United Kingdom","51.5090306","-0.08480555346346892"
"Wardour Street, Soho, City of Westminster, London, Greater London, England, W1F 0TD, United Kingdom","51.5139672","-0.1343351"
"Heddon Street, St. James's, Mayfair, City of Westminster, London, Greater London, England, W1B 4BF, United Kingdom","51.5108338","-0.1393778"
"Park Cameras, 53-54, Rathbone Place, Cavendish Square & Oxford Market (South), Fitzrovia, City of Westminster, London, Greater London, England, W1T 1JR, United Kingdom","51.5166216","-0.1333076"
"Oxford Street, Fitzrovia, City of Westminster, London, Greater London, England, W1B 2AE, United Kingdom","51.5152431","-0.1425157"
"16-18, Marshall Street, Soho, City of Westminster, London, Greater London, England, W1F 7EZ, United Kingdom","51.5138274","-0.1378864"
"Prowler, 5-7, Brewer Street, Soho, City of Westminster, London, Greater London, England, W1F 0RF, United Kingdom","51.512347649999995","-0.13359974405006114"
"King, 178, Wardour Street, Soho, City of Westminster, London, Greater London, England, W1F 8ZD, United Kingdom","51.51553845","-0.13516594218166683"
"Lush, 175-179, Oxford Street, St. James's, Fitzrovia, City of Westminster, London, Greater London, England, W1, United Kingdom","51.5155374","-0.1385399"
"Great Chapel Street, Soho, City of Westminster, London, Greater London, England, W1, United Kingdom","51.5150925","-0.1341369"
"Swallow Street, Beckton, London Borough of Newham, London, Greater London, England, E6, United Kingdom","51.5167374","0.0519105"
"Hollen Street, Soho, City of Westminster, London, Greater London, England, W1F 8FR, United Kingdom","51.5154249","-0.1349677"
"Clement's Inn, St Clement Danes, Covent Garden, City of Westminster, London, Greater London, England, WC2A 2AZ, United Kingdom","51.5137287","-0.1147963"
